Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Iterations,Initialized particles,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,101,57,50,50,0.6944444444444444,0.6061507936507936,0.6944444444444444,0.6404320987654322
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,Random_Forest,101,57,50,50,0.75,0.648989898989899,0.75,0.6944444444444444
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,501,169,200,20,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,501,169,200,20,0.7222222222222222,0.6177248677248677,0.7222222222222222,0.6615497076023392
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,501,169,200,20,0.8055555555555556,0.8000051872600893,0.8055555555555556,0.7939039517986886
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,501,169,200,20,0.7222222222222222,0.625,0.7222222222222222,0.6612862862862863
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,1001,149,200,20,0.8055555555555556,0.6938906609959241,0.8055555555555556,0.7453102453102454
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,1001,149,200,20,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,1001,149,200,20,0.75,0.7806878306878307,0.75,0.7391975308641974
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,1001,149,200,20,0.7222222222222222,0.625,0.7222222222222222,0.6612862862862863
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,101,27,200,20,0.6944444444444444,0.6063627730294396,0.6944444444444444,0.6462063086104007
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,101,27,200,20,0.6944444444444444,0.6080765639589168,0.6944444444444444,0.6456228956228957
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,101,27,200,20,0.6666666666666666,0.5897867564534232,0.6666666666666666,0.6257533316356845
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,101,27,200,20,0.6944444444444444,0.632716049382716,0.6944444444444444,0.6479575163398693
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,501,246,200,20,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,501,246,200,20,0.7222222222222222,0.6177248677248677,0.7222222222222222,0.6615497076023392
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,246,200,20,0.7777777777777778,0.814484126984127,0.7777777777777778,0.7484567901234568
